bill_id,bill_number,title,date,event
1933369,HB1006,Relating To The Agribusiness Development Corporation.,2025-04-04,Committee Report Pass
1933826,HB1007,Relating To The Hawaii Community Development Authority.,2025-01-23,Introduced
1933826,HB1007,Relating To The Hawaii Community Development Authority.,2025-01-23,Committee Referral
1933826,HB1007,Relating To The Hawaii Community Development Authority.,2025-02-04,Committee Report Pass
1933826,HB1007,Relating To The Hawaii Community Development Authority.,2025-02-04,Committee Referral
1933826,HB1007,Relating To The Hawaii Community Development Authority.,2025-02-14,Committee Report Pass
1933826,HB1007,Relating To The Hawaii Community Development Authority.,2025-02-14,Committee Referral
1933826,HB1007,Relating To The Hawaii Community Development Authority.,2025-02-28,Committee Report Pass
1933826,HB1007,Relating To The Hawaii Community Development Authority.,2025-02-28,Engrossed
1933826,HB1007,Relating To The Hawaii Community Development Authority.,2025-03-04,Committee Referral
1933826,HB1007,Relating To The Hawaii Community Development Authority.,2025-03-21,Committee Report Pass
1933826,HB1007,Relating To The Hawaii Community Development Authority.,2025-03-21,Committee Referral
1933826,HB1007,Relating To The Hawaii Community Development Authority.,2025-04-04,Committee Report Pass
1933826,HB1007,Relating To The Hawaii Community Development Authority.,2025-04-25,Committee Report Pass
1933826,HB1007,Relating To The Hawaii Community Development Authority.,2025-04-25,Committee Report Pass
1933826,HB1007,Relating To The Hawaii Community Development Authority.,2025-05-01,Enrolled
1933826,HB1007,Relating To The Hawaii Community Development Authority.,2025-07-01,Chapter/Act/Statute
1933826,HB1007,Relating To The Hawaii Community Development Authority.,2025-07-01,Passed
1933688,HB1008,Relating To Historic Preservation Reviews Of State Affordable Housing Projects.,2025-01-23,Introduced
1933688,HB1008,Relating To Historic Preservation Reviews Of State Affordable Housing Projects.,2025-01-23,Committee Referral
1933688,HB1008,Relating To Historic Preservation Reviews Of State Affordable Housing Projects.,2025-02-06,Committee Report Pass
1933688,HB1008,Relating To Historic Preservation Reviews Of State Affordable Housing Projects.,2025-02-06,Committee Referral
1933688,HB1008,Relating To Historic Preservation Reviews Of State Affordable Housing Projects.,2025-02-13,Committee Report Pass
1933688,HB1008,Relating To Historic Preservation Reviews Of State Affordable Housing Projects.,2025-02-13,Committee Referral
1933688,HB1008,Relating To Historic Preservation Reviews Of State Affordable Housing Projects.,2025-02-28,Committee Report Pass
1933688,HB1008,Relating To Historic Preservation Reviews Of State Affordable Housing Projects.,2025-03-04,Engrossed
1933688,HB1008,Relating To Historic Preservation Reviews Of State Affordable Housing Projects.,2025-03-06,Committee Referral
1933594,HB1009,Relating To The Dwelling Unit Revolving Fund.,2025-01-23,Introduced
1933594,HB1009,Relating To The Dwelling Unit Revolving Fund.,2025-01-23,Committee Referral
1933594,HB1009,Relating To The Dwelling Unit Revolving Fund.,2025-02-12,Committee Report Pass
1933594,HB1009,Relating To The Dwelling Unit Revolving Fund.,2025-02-12,Committee Referral
1933594,HB1009,Relating To The Dwelling Unit Revolving Fund.,2025-02-28,Committee Report Pass
1933594,HB1009,Relating To The Dwelling Unit Revolving Fund.,2025-03-04,Engrossed
1933594,HB1009,Relating To The Dwelling Unit Revolving Fund.,2025-03-06,Committee Referral
1916778,HB101,Relating To The Deputy Director Of Highways Of The Department Of Transportation.,2025-01-16,Introduced
1916778,HB101,Relating To The Deputy Director Of Highways Of The Department Of Transportation.,2025-01-21,Committee Referral
1933581,HB1010,Relating To The Rental Housing Revolving Fund.,2025-01-23,Introduced
1933581,HB1010,Relating To The Rental Housing Revolving Fund.,2025-01-23,Committee Referral
1933645,HB1011,Relating To The Hawaii Technology Development Corporation.,2025-01-23,Introduced
1933645,HB1011,Relating To The Hawaii Technology Development Corporation.,2025-01-23,Committee Referral
1933471,HB1012,Relating To The Land Study Bureau Soil Rating System.,2025-01-23,Introduced
1933471,HB1012,Relating To The Land Study Bureau Soil Rating System.,2025-01-23,Committee Referral
1933377,HB1013,Relating To Important Agricultural Lands.,2025-01-23,Introduced
1933377,HB1013,Relating To Important Agricultural Lands.,2025-01-23,Committee Referral
1933377,HB1013,Relating To Important Agricultural Lands.,2025-02-06,Committee Report Pass
1933377,HB1013,Relating To Important Agricultural Lands.,2025-02-06,Committee Referral
1933377,HB1013,Relating To Important Agricultural Lands.,2025-02-14,Committee Report Pass
1933377,HB1013,Relating To Important Agricultural Lands.,2025-02-14,Committee Referral
1933604,HB1014,Relating To Taxation.,2025-01-23,Introduced
1933604,HB1014,Relating To Taxation.,2025-01-23,Committee Referral
1933401,HB1015,Relating To Land Use.,2025-01-23,Introduced
1933401,HB1015,Relating To Land Use.,2025-01-23,Committee Referral
1933389,HB1016,Relating To Integrated Land Use.,2025-01-23,Introduced
1933389,HB1016,Relating To Integrated Land Use.,2025-01-23,Committee Referral
1933442,HB1017,Relating To The Greenhouse Gas Sequestration Task Force.,2025-01-23,Introduced
1933442,HB1017,Relating To The Greenhouse Gas Sequestration Task Force.,2025-01-23,Committee Referral
1933442,HB1017,Relating To The Greenhouse Gas Sequestration Task Force.,2025-02-12,Committee Report Pass
1933442,HB1017,Relating To The Greenhouse Gas Sequestration Task Force.,2025-02-12,Committee Referral
1933442,HB1017,Relating To The Greenhouse Gas Sequestration Task Force.,2025-02-27,Committee Report Pass
1933442,HB1017,Relating To The Greenhouse Gas Sequestration Task Force.,2025-02-27,Engrossed
1933442,HB1017,Relating To The Greenhouse Gas Sequestration Task Force.,2025-03-04,Committee Referral
1933442,HB1017,Relating To The Greenhouse Gas Sequestration Task Force.,2025-03-13,Committee Report Pass
1933442,HB1017,Relating To The Greenhouse Gas Sequestration Task Force.,2025-03-13,Committee Referral
1933442,HB1017,Relating To The Greenhouse Gas Sequestration Task Force.,2025-04-04,Committee Report Pass
1933442,HB1017,Relating To The Greenhouse Gas Sequestration Task Force.,2025-04-22,Enrolled
1933442,HB1017,Relating To The Greenhouse Gas Sequestration Task Force.,2025-05-14,Chapter/Act/Statute
1933442,HB1017,Relating To The Greenhouse Gas Sequestration Task Force.,2025-05-14,Passed
1933591,HB1018,Relating To The Stadium Authority.,2025-01-23,Introduced
1933591,HB1018,Relating To The Stadium Authority.,2025-01-23,Committee Referral
1933569,HB1019,Relating To Long Duration Clean Energy Storage.,2025-01-23,Introduced
1933569,HB1019,Relating To Long Duration Clean Energy Storage.,2025-01-23,Committee Referral
1933569,HB1019,Relating To Long Duration Clean Energy Storage.,2025-02-13,Committee Report Pass
1933569,HB1019,Relating To Long Duration Clean Energy Storage.,2025-02-13,Committee Referral
1916765,HB102,Relating To Transportation.,2025-01-16,Introduced
1916765,HB102,Relating To Transportation.,2025-01-21,Committee Referral
1916765,HB102,Relating To Transportation.,2025-02-11,Committee Report Pass
1916765,HB102,Relating To Transportation.,2025-02-11,Committee Referral
1933784,HB1020,Relating To A Program To Characterize Carbon Sequestration Potential And Underground Water Resources Statewide.,2025-01-23,Introduced
1933784,HB1020,Relating To A Program To Characterize Carbon Sequestration Potential And Underground Water Resources Statewide.,2025-01-23,Committee Referral
1933784,HB1020,Relating To A Program To Characterize Carbon Sequestration Potential And Underground Water Resources Statewide.,2025-02-11,Committee Report Pass
1933784,HB1020,Relating To A Program To Characterize Carbon Sequestration Potential And Underground Water Resources Statewide.,2025-02-11,Committee Referral
1933784,HB1020,Relating To A Program To Characterize Carbon Sequestration Potential And Underground Water Resources Statewide.,2025-02-27,Committee Report Pass
1933784,HB1020,Relating To A Program To Characterize Carbon Sequestration Potential And Underground Water Resources Statewide.,2025-02-27,Engrossed
1933784,HB1020,Relating To A Program To Characterize Carbon Sequestration Potential And Underground Water Resources Statewide.,2025-03-04,Committee Referral
1933784,HB1020,Relating To A Program To Characterize Carbon Sequestration Potential And Underground Water Resources Statewide.,2025-03-18,Committee Report Pass
1933784,HB1020,Relating To A Program To Characterize Carbon Sequestration Potential And Underground Water Resources Statewide.,2025-03-18,Committee Referral
1933784,HB1020,Relating To A Program To Characterize Carbon Sequestration Potential And Underground Water Resources Statewide.,2025-04-02,Committee Report Pass
1933541,HB1021,Relating To The Zero Emissions Clean Economy Target.,2025-01-23,Introduced
1933541,HB1021,Relating To The Zero Emissions Clean Economy Target.,2025-01-23,Committee Referral
1933538,HB1022,Relating To Energy Industry Information Reporting.,2025-01-23,Introduced
1933538,HB1022,Relating To Energy Industry Information Reporting.,2025-01-23,Committee Referral
1933538,HB1022,Relating To Energy Industry Information Reporting.,2025-02-12,Committee Report Pass
1933538,HB1022,Relating To Energy Industry Information Reporting.,2025-02-12,Committee Referral
1933402,HB1023,Relating To Renewable Portfolio Standards.,2025-01-23,Introduced
1933402,HB1023,Relating To Renewable Portfolio Standards.,2025-01-23,Committee Referral
1933564,HB1024,Relating To The Small Business Regulatory Review Board.,2025-01-23,Introduced
1933564,HB1024,Relating To The Small Business Regulatory Review Board.,2025-01-23,Committee Referral
1933661,HB1025,"Relating To The Center For Cultural And Technical Interchange Between East And West, Inc.",2025-01-23,Introduced
1933661,HB1025,"Relating To The Center For Cultural And Technical Interchange Between East And West, Inc.",2025-01-23,Committee Referral
1933661,HB1025,"Relating To The Center For Cultural And Technical Interchange Between East And West, Inc.",2025-02-12,Committee Report Pass
1933661,HB1025,"Relating To The Center For Cultural And Technical Interchange Between East And West, Inc.",2025-02-12,Committee Referral
1933661,HB1025,"Relating To The Center For Cultural And Technical Interchange Between East And West, Inc.",2025-02-27,Committee Report Pass
1933661,HB1025,"Relating To The Center For Cultural And Technical Interchange Between East And West, Inc.",2025-02-27,Engrossed
1933661,HB1025,"Relating To The Center For Cultural And Technical Interchange Between East And West, Inc.",2025-03-04,Committee Referral
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,2025-01-23,Introduced
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,2025-01-23,Committee Referral
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,2025-02-10,Committee Report Pass
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,2025-02-10,Committee Referral
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,2025-02-27,Committee Report Pass
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,2025-02-27,Engrossed
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,2025-03-04,Committee Referral
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,2025-03-18,Committee Report Pass
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,2025-03-18,Committee Referral
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,2025-04-03,Committee Report Pass
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,2025-04-25,Committee Report Pass
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,2025-04-25,Committee Report Pass
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,2025-05-02,Enrolled
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,2025-05-12,Chapter/Act/Statute
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,2025-05-12,Passed
1933423,HB1027,Relating To Public Employment Cost Items.,2025-01-23,Introduced
1933423,HB1027,Relating To Public Employment Cost Items.,2025-01-23,Committee Referral
1933423,HB1027,Relating To Public Employment Cost Items.,2025-02-11,Committee Report Pass
1933423,HB1027,Relating To Public Employment Cost Items.,2025-02-11,Committee Referral
1933423,HB1027,Relating To Public Employment Cost Items.,2025-02-27,Committee Report Pass
1933423,HB1027,Relating To Public Employment Cost Items.,2025-02-27,Engrossed
1933423,HB1027,Relating To Public Employment Cost Items.,2025-03-04,Committee Referral
1933423,HB1027,Relating To Public Employment Cost Items.,2025-03-18,Committee Report Pass
1933423,HB1027,Relating To Public Employment Cost Items.,2025-03-18,Committee Referral
1933423,HB1027,Relating To Public Employment Cost Items.,2025-04-04,Committee Report Pass
1933423,HB1027,Relating To Public Employment Cost Items.,2025-04-25,Committee Report Pass
1933423,HB1027,Relating To Public Employment Cost Items.,2025-04-25,Committee Report Pass
1933423,HB1027,Relating To Public Employment Cost Items.,2025-05-01,Enrolled
1933423,HB1027,Relating To Public Employment Cost Items.,2025-05-12,Chapter/Act/Statute
1933423,HB1027,Relating To Public Employment Cost Items.,2025-05-12,Passed
1933805,HB1028,Relating To Public Employment Cost Items.,2025-01-23,Introduced
1933805,HB1028,Relating To Public Employment Cost Items.,2025-01-23,Committee Referral
1933805,HB1028,Relating To Public Employment Cost Items.,2025-02-10,Committee Report Pass
1933805,HB1028,Relating To Public Employment Cost Items.,2025-02-10,Committee Referral
1933805,HB1028,Relating To Public Employment Cost Items.,2025-02-27,Committee Report Pass
1933805,HB1028,Relating To Public Employment Cost Items.,2025-02-27,Engrossed
1933805,HB1028,Relating To Public Employment Cost Items.,2025-03-04,Committee Referral
1933805,HB1028,Relating To Public Employment Cost Items.,2025-03-18,Committee Report Pass
1933805,HB1028,Relating To Public Employment Cost Items.,2025-03-18,Committee Referral
1933805,HB1028,Relating To Public Employment Cost Items.,2025-04-04,Committee Report Pass
1933805,HB1028,Relating To Public Employment Cost Items.,2025-04-25,Committee Report Pass
1933805,HB1028,Relating To Public Employment Cost Items.,2025-04-25,Committee Report Pass
1933805,HB1028,Relating To Public Employment Cost Items.,2025-05-01,Enrolled
1933805,HB1028,Relating To Public Employment Cost Items.,2025-05-12,Chapter/Act/Statute
1933805,HB1028,Relating To Public Employment Cost Items.,2025-05-12,Passed
1933574,HB1029,Relating To Public Employment Cost Items.,2025-01-23,Introduced
1933574,HB1029,Relating To Public Employment Cost Items.,2025-01-23,Committee Referral
1933574,HB1029,Relating To Public Employment Cost Items.,2025-02-10,Committee Report Pass
1933574,HB1029,Relating To Public Employment Cost Items.,2025-02-10,Committee Referral
1933574,HB1029,Relating To Public Employment Cost Items.,2025-02-27,Committee Report Pass
1933574,HB1029,Relating To Public Employment Cost Items.,2025-02-27,Engrossed
1933574,HB1029,Relating To Public Employment Cost Items.,2025-03-04,Committee Referral
1933574,HB1029,Relating To Public Employment Cost Items.,2025-03-18,Committee Report Pass
1933574,HB1029,Relating To Public Employment Cost Items.,2025-03-18,Committee Referral
1933574,HB1029,Relating To Public Employment Cost Items.,2025-04-04,Committee Report Pass
1933574,HB1029,Relating To Public Employment Cost Items.,2025-04-25,Committee Report Pass
1933574,HB1029,Relating To Public Employment Cost Items.,2025-04-25,Committee Report Pass
1933574,HB1029,Relating To Public Employment Cost Items.,2025-05-01,Enrolled
1933574,HB1029,Relating To Public Employment Cost Items.,2025-05-12,Chapter/Act/Statute
1933574,HB1029,Relating To Public Employment Cost Items.,2025-05-12,Passed
1916770,HB103,Relating To Sentencing.,2025-01-16,Introduced
1916770,HB103,Relating To Sentencing.,2025-01-21,Committee Referral
1916770,HB103,Relating To Sentencing.,2025-02-27,Committee Report Pass
1916770,HB103,Relating To Sentencing.,2025-02-28,Engrossed
1916770,HB103,Relating To Sentencing.,2025-03-04,Committee Referral
1916770,HB103,Relating To Sentencing.,2025-03-14,Committee Report Pass
1916770,HB103,Relating To Sentencing.,2025-04-24,Committee Report Pass
1916770,HB103,Relating To Sentencing.,2025-04-24,Committee Report Pass
1916770,HB103,Relating To Sentencing.,2025-05-01,Enrolled
1916770,HB103,Relating To Sentencing.,2025-06-03,Chapter/Act/Statute
1916770,HB103,Relating To Sentencing.,2025-06-03,Passed
1933472,HB1030,Relating To Public Employment Cost Items.,2025-01-23,Introduced
1933472,HB1030,Relating To Public Employment Cost Items.,2025-01-23,Committee Referral
1933472,HB1030,Relating To Public Employment Cost Items.,2025-02-10,Committee Report Pass
1933472,HB1030,Relating To Public Employment Cost Items.,2025-02-10,Committee Referral
1933472,HB1030,Relating To Public Employment Cost Items.,2025-02-27,Committee Report Pass
1933472,HB1030,Relating To Public Employment Cost Items.,2025-02-27,Engrossed
1933472,HB1030,Relating To Public Employment Cost Items.,2025-03-04,Committee Referral
1933472,HB1030,Relating To Public Employment Cost Items.,2025-03-18,Committee Report Pass
1933472,HB1030,Relating To Public Employment Cost Items.,2025-03-18,Committee Referral
1933472,HB1030,Relating To Public Employment Cost Items.,2025-04-04,Committee Report Pass
1933472,HB1030,Relating To Public Employment Cost Items.,2025-04-25,Committee Report Pass
1933472,HB1030,Relating To Public Employment Cost Items.,2025-04-25,Committee Report Pass
1933472,HB1030,Relating To Public Employment Cost Items.,2025-05-01,Enrolled
1933472,HB1030,Relating To Public Employment Cost Items.,2025-05-12,Chapter/Act/Statute
1933472,HB1030,Relating To Public Employment Cost Items.,2025-05-12,Passed
1933508,HB1031,Relating To Public Employment Cost Items.,2025-01-23,Introduced
1933508,HB1031,Relating To Public Employment Cost Items.,2025-01-23,Committee Referral
1933508,HB1031,Relating To Public Employment Cost Items.,2025-02-11,Committee Report Pass
1933508,HB1031,Relating To Public Employment Cost Items.,2025-02-11,Committee Referral
1933508,HB1031,Relating To Public Employment Cost Items.,2025-02-27,Committee Report Pass
1933508,HB1031,Relating To Public Employment Cost Items.,2025-02-27,Engrossed
1933508,HB1031,Relating To Public Employment Cost Items.,2025-03-04,Committee Referral
1933508,HB1031,Relating To Public Employment Cost Items.,2025-03-18,Committee Report Pass
1933508,HB1031,Relating To Public Employment Cost Items.,2025-03-18,Committee Referral
1933508,HB1031,Relating To Public Employment Cost Items.,2025-04-04,Committee Report Pass
1933508,HB1031,Relating To Public Employment Cost Items.,2025-04-24,Committee Report Pass
1933508,HB1031,Relating To Public Employment Cost Items.,2025-04-24,Committee Report Pass
1933508,HB1031,Relating To Public Employment Cost Items.,2025-05-01,Enrolled
1933508,HB1031,Relating To Public Employment Cost Items.,2025-05-12,Chapter/Act/Statute
1933508,HB1031,Relating To Public Employment Cost Items.,2025-05-12,Passed
1933546,HB1032,Relating To Public Employment Cost Items.,2025-01-23,Introduced
1933546,HB1032,Relating To Public Employment Cost Items.,2025-01-23,Committee Referral
1933546,HB1032,Relating To Public Employment Cost Items.,2025-02-11,Committee Report Pass
1933546,HB1032,Relating To Public Employment Cost Items.,2025-02-11,Committee Referral
1933546,HB1032,Relating To Public Employment Cost Items.,2025-02-27,Committee Report Pass
1933546,HB1032,Relating To Public Employment Cost Items.,2025-02-27,Engrossed
1933546,HB1032,Relating To Public Employment Cost Items.,2025-03-04,Committee Referral
1933546,HB1032,Relating To Public Employment Cost Items.,2025-03-18,Committee Report Pass
1933546,HB1032,Relating To Public Employment Cost Items.,2025-03-18,Committee Referral
1933546,HB1032,Relating To Public Employment Cost Items.,2025-04-04,Committee Report Pass
1933546,HB1032,Relating To Public Employment Cost Items.,2025-04-25,Committee Report Pass
1933546,HB1032,Relating To Public Employment Cost Items.,2025-04-25,Committee Report Pass
1933546,HB1032,Relating To Public Employment Cost Items.,2025-05-01,Enrolled
1933546,HB1032,Relating To Public Employment Cost Items.,2025-05-13,Chapter/Act/Statute
1933546,HB1032,Relating To Public Employment Cost Items.,2025-05-13,Passed
1933828,HB1033,Relating To Public Employment Cost Items.,2025-01-23,Introduced
1933828,HB1033,Relating To Public Employment Cost Items.,2025-01-23,Committee Referral
1933828,HB1033,Relating To Public Employment Cost Items.,2025-02-11,Committee Report Pass
1933828,HB1033,Relating To Public Employment Cost Items.,2025-02-11,Committee Referral
1933828,HB1033,Relating To Public Employment Cost Items.,2025-02-27,Committee Report Pass
1933828,HB1033,Relating To Public Employment Cost Items.,2025-02-27,Engrossed
1933828,HB1033,Relating To Public Employment Cost Items.,2025-03-04,Committee Referral
1933828,HB1033,Relating To Public Employment Cost Items.,2025-03-18,Committee Report Pass
1933828,HB1033,Relating To Public Employment Cost Items.,2025-03-18,Committee Referral
1933828,HB1033,Relating To Public Employment Cost Items.,2025-04-04,Committee Report Pass
1933828,HB1033,Relating To Public Employment Cost Items.,2025-04-25,Committee Report Pass
1933828,HB1033,Relating To Public Employment Cost Items.,2025-04-25,Committee Report Pass
1933828,HB1033,Relating To Public Employment Cost Items.,2025-05-01,Enrolled
1933828,HB1033,Relating To Public Employment Cost Items.,2025-05-13,Chapter/Act/Statute
1933828,HB1033,Relating To Public Employment Cost Items.,2025-05-13,Passed
1933730,HB1034,Relating To Public Employment Cost Items.,2025-01-23,Introduced
1933730,HB1034,Relating To Public Employment Cost Items.,2025-01-23,Committee Referral
1933730,HB1034,Relating To Public Employment Cost Items.,2025-02-10,Committee Report Pass
1933730,HB1034,Relating To Public Employment Cost Items.,2025-02-10,Committee Referral
1933730,HB1034,Relating To Public Employment Cost Items.,2025-02-27,Committee Report Pass
1933730,HB1034,Relating To Public Employment Cost Items.,2025-02-27,Engrossed
1933730,HB1034,Relating To Public Employment Cost Items.,2025-03-04,Committee Referral
1933730,HB1034,Relating To Public Employment Cost Items.,2025-03-18,Committee Report Pass
1933730,HB1034,Relating To Public Employment Cost Items.,2025-03-18,Committee Referral
1933730,HB1034,Relating To Public Employment Cost Items.,2025-04-04,Committee Report Pass
1933730,HB1034,Relating To Public Employment Cost Items.,2025-04-25,Committee Report Pass
1933730,HB1034,Relating To Public Employment Cost Items.,2025-04-25,Committee Report Pass
1933730,HB1034,Relating To Public Employment Cost Items.,2025-05-01,Enrolled
1933730,HB1034,Relating To Public Employment Cost Items.,2025-05-13,Chapter/Act/Statute
1933730,HB1034,Relating To Public Employment Cost Items.,2025-05-13,Passed
1933717,HB1035,Relating To Public Employment Cost Items.,2025-01-23,Introduced
1933717,HB1035,Relating To Public Employment Cost Items.,2025-01-23,Committee Referral
1933717,HB1035,Relating To Public Employment Cost Items.,2025-02-10,Committee Report Pass
1933717,HB1035,Relating To Public Employment Cost Items.,2025-02-10,Committee Referral
1933717,HB1035,Relating To Public Employment Cost Items.,2025-02-27,Committee Report Pass
1933717,HB1035,Relating To Public Employment Cost Items.,2025-02-27,Engrossed
1933717,HB1035,Relating To Public Employment Cost Items.,2025-03-04,Committee Referral
1933717,HB1035,Relating To Public Employment Cost Items.,2025-03-18,Committee Report Pass
1933717,HB1035,Relating To Public Employment Cost Items.,2025-03-18,Committee Referral
1933717,HB1035,Relating To Public Employment Cost Items.,2025-04-04,Committee Report Pass
1933717,HB1035,Relating To Public Employment Cost Items.,2025-04-25,Committee Report Pass
1933717,HB1035,Relating To Public Employment Cost Items.,2025-04-25,Committee Report Pass
1933717,HB1035,Relating To Public Employment Cost Items.,2025-05-01,Enrolled
1933717,HB1035,Relating To Public Employment Cost Items.,2025-05-13,Chapter/Act/Statute
1933717,HB1035,Relating To Public Employment Cost Items.,2025-05-13,Passed
1933780,HB1036,Relating To Public Employment Cost Items.,2025-01-23,Introduced
