bill_id,bill_number,title,description,state,subject,companion,relevant,session,filename,status,status_date,source,chat,url_final_text,url_initial_text
1933826,HB1007,Relating To The Hawaii Community Development Authority.,Authorizes the Hawaii Community Development Authority to cooperate with or assist public and private sector entities to engage in projects that improve the State. Amends the membership of the HCDA board of directors. Establishes the Transit-oriented Development Infrastructure Improvement Program under HCDA. Repeals the Transit-oriented Development Infrastructure Improvement District Board. Authorizes HCDA to issue bonds to finance the development of infrastructure outside of HCDA's community development districts. (CD1),HI,"HCDA, Department of Business, Economic Development, and Tourism, Special Fund, Appropriations ($), Transit-Oriented Community Improvement Program",SB1326,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1007.json,Passed,2025-07-01,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1007&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1007_CD1_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1007_.HTM
1933688,HB1008,Relating To Historic Preservation Reviews Of State Affordable Housing Projects.,"Requires the Department of Land and Natural Resources to determine the effect of any proposed State affordable housing project within ninety days of a request for determination. Bases the historic review requirements on the project area's known or likely density of historic, cultural, and archaeological resources or previous identification of no significant historic properties. Effective 7/1/3000. (HD2)",HI,"DLNR, Review of Proposed State Affordable Housing Projects, Request for Determination, Historic Review Requirements",SB1327,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1008.json,Engrossed,2025-03-04,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1008&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1008_HD2_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1008_.HTM
1933594,HB1009,Relating To The Dwelling Unit Revolving Fund.,Makes the Dwelling Unit Revolving Fund Equity Pilot Program permanent. Allows partial or full repayment of Dwelling Unit Revolving Fund interim loans in the form of unit equity through the Dwelling Unit Revolving Fund Equity Program. Effective 7/1/3000. (HD1),HI,"Hawaii Housing Finance and Development Corporation, Dwelling Unit Revolving Fund, Dwelling Unit Revolving Fund Equity Program, Interim Financing",SB1328,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1009.json,Engrossed,2025-03-04,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1009&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1009_HD1_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1009_.HTM
1916778,HB101,Relating To The Deputy Director Of Highways Of The Department Of Transportation.,Requires the Deputy Director of Highways of the Department of Transportation to be subject to the advice and consent of the Senate.,HI,"DOT, Deputy Director of Highways, Advice and Consent",SB459,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB101.json,Introduced,2025-01-16,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=101&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB101_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB101_.HTM
1933581,HB1010,Relating To The Rental Housing Revolving Fund.,Creates a mixed-income rental housing subaccount under the Rental Housing Revolving Fund which shall make loans to mixed-income rental projects or units in a mixed-income rental project. Authorizes the transfer of moneys from the Rental Housing Revolving Fund to the Rental Housing Revolving Fund Mixed-Income Subaccount.,HI,"Hawaii Housing Finance and Development Corporation, RHRF, Mixed-Income Rental Housing, Subaccount",SB1329,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1010.json,Introduced,2025-01-23,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1010&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1010_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1010_.HTM
1933645,HB1011,Relating To The Hawaii Technology Development Corporation.,Increases the cap for awards to assist businesses applying for the Small Business Innovation Research Grant Program and the Small Business Technology Transfer Grant Program of the Hawaii Technology Development Corporation. Adds purchasing of renewable energy systems as an eligible expense and clarifies that training on both new and existing manufacturing equipment is an eligible expense for the Manufacturing Development Grant Program. Clarifies that no tax credit is available for renewable energy systems purchased with a grant received under the Manufacturing Development Grant Program.,HI,"Hawaii Technology Development Corporation, Small Business Innovation Research Grant Program, Small Business Technology Transfer Grant Program, Manufacturing Development Grant Program",SB1330,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1011.json,Introduced,2025-01-23,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1011&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1011_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1011_.HTM
1933471,HB1012,Relating To The Land Study Bureau Soil Rating System.,"Requires the Office of Planning and Sustainable Development, in coordination with other agencies, to update the soil data used in the land study bureau soil rating system and create a mechanism for regular soil data updates. Appropriates funds.",HI,"OPSD, Land Study Bureau Soil Rating System, Soils, Appropriation ($)",SB1331,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1012.json,Introduced,2025-01-23,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1012&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1012_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1012_.HTM
1933377,HB1013,Relating To Important Agricultural Lands.,"Establishes an important agricultural lands incentive to provide alternative means to develop housing for farmers and farm employees. Authorizes a landowner or lessee of important agricultural lands to apply to a county for a permit allowing the landowner or lessee to develop, construct, and maintain farm cluster housing. Requires each county to enact ordinances to allow farm cluster housing on important agricultural lands. Establishes requirements for farm cluster housing. Repeals existing requirements for farm dwellings and employee housing on important agricultural lands. Effective 7/1/3000. (HD1)",HI,"Important Agricultural Lands, Important Agricultural Lands Incentive, Farm Cluster Housing, County Ordinances",SB1332,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1013.json,Introduced,2025-01-23,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1013&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1013_HD1_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1013_.HTM
1933604,HB1014,Relating To Taxation.,"Authorizes the use of county surcharge revenues for transportation and housing infrastructure in counties having a population of 500,000 or less. Authorizes counties that have previously adopted a surcharge on state tax ordinance after July 1, 2015, to amend the uses of the surcharge. Extends the period within which a county with a population of 500,000 or less may collect a surcharge on state tax, under certain conditions, to 12/31/2047. Authorizes cost-sharing with private or other public developers for housing infrastructure projects funded by surcharge revenues.",HI,"County Surcharge on State Tax, Regional Infrastructure",SB1333,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1014.json,Introduced,2025-01-23,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1014&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1014_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1014_.HTM
1933401,HB1015,Relating To Land Use.,Authorizes county petition process for review and approval of land use district boundary amendments based on adopted county general plans or county development plans.,HI,"Land Use, Land Use District Boundary Amendments",SB1334,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1015.json,Introduced,2025-01-23,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1015&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1015_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1015_.HTM
1933389,HB1016,Relating To Integrated Land Use.,"Requires the Office of Planning and Sustainable Development to conduct an integrated land use study for the use of lands within the agricultural districts. Establishes one full-time equivalent (1.0 FTE) planner position, exempt from chapter 76.",HI,"Office of Planning and Sustainable Development, Integrated Land Use Study, Civil Service, Exemption, Appropriations ($)",SB1335,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1016.json,Introduced,2025-01-23,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1016&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1016_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1016_.HTM
1933442,HB1017,Relating To The Greenhouse Gas Sequestration Task Force.,Repeals the Greenhouse Gas Sequestration Task Force. (SD1),HI,"Greenhouse Gas Sequestration Task Force, Repeal",SB1336,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1017.json,Passed,2025-05-14,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1017&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1017_SD1_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1017_.HTM
1933591,HB1018,Relating To The Stadium Authority.,Clarifies requirements to establish a quorum to do business and validate acts of the Stadium Authority.,HI,"Stadium Authority, Quorum Requirements",SB1337,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1018.json,Introduced,2025-01-23,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1018&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1018_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1018_.HTM
1933569,HB1019,Relating To Long Duration Clean Energy Storage.,"Expands and renames the Hawaii Renewable Hydrogen Program to include identification of likely pumped storage hydropower locations, or sites for other long duration clean energy storage technologies, and promotion of their development. Expands the use of the Hydrogen Investment Special Fund to include seed capital and venture capital investments for the Hawaii Renewable Hydrogen and Long Duration Clean Energy Storage Program. Appropriates funds for the Hawaii Renewable Hydrogen and Long Duration Clean Energy Storage Program. Effective 7/1/3000. (HD1)",HI,"Hawaii State Energy Office, Appropriation ($), Hawaii Renewable Hydrogen and Long Duration Clean Energy Storage Program",SB1338,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1019.json,Introduced,2025-01-23,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1019&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1019_HD1_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1019_.HTM
1916765,HB102,Relating To Transportation.,"Prohibits the issuance of a certificate of inspection for a moped or motor vehicle that has been altered, installed, or otherwise modified in any way which will noticeably increase the noise emitted by the motor vehicle or moped above that emitted by the motor vehicle or moped as equipped from the factory, except for motorcycles and mopeds that do not exceed certain federal regulations. Effective 7/1/3000. (HD1)",HI,"Mopeds, Motor Vehicles, Mufflers, Certificate of Inspection",SB367,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB102.json,Introduced,2025-01-16,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=102&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB102_HD1_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB102_.HTM
1933784,HB1020,Relating To A Program To Characterize Carbon Sequestration Potential And Underground Water Resources Statewide.,"Establishes a Carbon Sequestration, Underground Water, and Geothermal Exploration Resource Characterization Program via slim hole bores and requires a related statewide environmental assessment. Requires a report to the Legislature. Establishes positions. Appropriates funds. Effective 7/1/3000. (SD2)",HI,"Carbon Sequestration, Water Resources, Geothermal Exploration, Appropriations ($), Department of Business, Economic Development, and Tourism, Report, Positions",SB1339,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1020.json,Engrossed,2025-02-27,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1020&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1020_SD2_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1020_.HTM
1933541,HB1021,Relating To The Zero Emissions Clean Economy Target.,"Provides needed clarifications on the applicability and scope of section 225P-5, HRS. Clarifies current emissions reduction goals and defines critical terms used in climate mitigation. Establishes a total or gross emissions target as well as sector-specific targets to reinforce action in the relevant emitting sectors further strengthening the transition to a sustainable, low-carbon economy.",HI,"Greenhouse Gas, Carbon, Hawaii Climate Change Mitigation and Adaptation Commission, Hawaii State Energy Office",SB1340,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1021.json,Introduced,2025-01-23,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1021&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1021_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1021_.HTM
1933538,HB1022,Relating To Energy Industry Information Reporting.,"Adds the promotion of emergency management and critical infrastructure protection as relevant purposes of the Energy Data Collection Program. Adds the Hawaii Emergency Management Agency and Office of Homeland Security to the list of agencies that may examine the energy industry information statements submitted pursuant to section 486J-3, HRS. Effective 7/1/3000. (HD1)",HI,"Department of Business, Economic Development and Tourism, Hawaii State Energy Office, Public Utilities Commission, Energy Data Collection Program, HIEMA, OHS, Critical Infrastructure Protection, Emergency Management",SB1341,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1022.json,Introduced,2025-01-23,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1022&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1022_HD1_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1022_.HTM
1933402,HB1023,Relating To Renewable Portfolio Standards.,"Modifies and improves the effectiveness of the renewable portfolio standards law, which stipulates the central role of Hawaii's electric utility companies in complying with the State's renewable energy and climate goals to address emerging trends.",HI,"Renewable Energy Portfolio Standards, Department of Commerce and Consumer Affairs, Public Utilities Commission, Department of Commerce and Consumer Affairs, Division of Consumer Advocacy.",SB1342,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1023.json,Introduced,2025-01-23,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1023&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1023_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1023_.HTM
1933564,HB1024,Relating To The Small Business Regulatory Review Board.,Amends the quorum requirements to do business and validate acts of the Small Business Regulatory Review Board.,HI,"SBRRB, Small Business, Quorum Requirements",SB1343,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1024.json,Introduced,2025-01-23,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1024&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1024_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1024_.HTM
1933661,HB1025,"Relating To The Center For Cultural And Technical Interchange Between East And West, Inc.","Designates the Center for Cultural and Technical Interchange Between East and West, Inc., as the State of Hawaii Center for Cultural and Technical Interchange Between East and West, Inc. Exempts general fund appropriations to the State of Hawaii Center for Cultural and Technical Interchange Between East and West, Inc from the requirements of chapter 42F, Hawaii Revised Statutes. Effective 7/1/3000. (HD1)",HI,"East-West Center, Center for Cultural and Technical Interchange Between East and West, Inc., General Fund Appropriations, Chapter 42F Exemption",SB1344,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1025.json,Engrossed,2025-02-27,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1025&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1025_HD1_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1025_.HTM
1933461,HB1026,Making Emergency Appropriations For Public Employment Cost Items.,"Makes emergency appropriations for collective bargaining cost items for the members of Bargaining Units (1), (2), (3), (4), (8), (9), (10), (13), and (14) and their excluded counterparts, including the cost of salary adjustments negotiated between the State and the bargaining unit representative for fiscal year 2024-2025. Declares the expenditure ceiling for fiscal year 2024-2025 is exceeded. (CD2)",HI,"Public Employment Cost Items, Emergency Appropriations, Expenditure Ceiling ($), BU-1, BU-2, BU-3, BU-4, BU-8, BU-9, BU-10, BU-13, and BU-14",SB1345,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1026.json,Passed,2025-05-12,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1026&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1026_CD1_HFA6_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1026_.HTM
1933423,HB1027,Relating To Public Employment Cost Items.,"Appropriates funds for collective bargaining cost items for the members of Bargaining Units (1) and (10) and their excluded counterparts, including the cost of salary adjustments negotiated between the State and the bargaining unit representative for fiscal biennium 2025-2027. (CD1)",HI,"Public Employment Cost Items, BU-1, BU-10, Appropriations ($)",SB1346,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1027.json,Passed,2025-05-12,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1027&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1027_CD1_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1027_.HTM
1933805,HB1028,Relating To Public Employment Cost Items.,"Appropriates funds for collective bargaining cost items for the members of bargaining unit (2) and their excluded counterparts, including the cost of salary adjustments negotiated between the State and the bargaining unit representative for fiscal biennium 2025-2027. (CD1)",HI,"Public Employment Cost Items, BU-2, Appropriations ($)",SB1347,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1028.json,Passed,2025-05-12,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1028&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1028_CD1_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1028_.HTM
1933574,HB1029,Relating To Public Employment Cost Items.,"Appropriates funds for collective bargaining cost items for the members of bargaining unit (3) and their excluded counterparts, including the cost of salary adjustments negotiated between the State and the bargaining unit representative for fiscal biennium 2025-2027. (CD1)",HI,"Public Employment Cost Items, BU-3, Appropriations ($)",SB1348,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1029.json,Passed,2025-05-12,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1029&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1029_CD1_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1029_.HTM
1916770,HB103,Relating To Sentencing.,Prohibits sentencing persons who were under the age of twenty-one at the time of the offense to life imprisonment without the possibility of parole. (CD1),HI,"Sentencing, Life Without Parole, Penal Code, Persons Under Twenty-One",SB778,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB103.json,Passed,2025-06-03,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=103&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB103_CD1_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB103_.HTM
1933472,HB1030,Relating To Public Employment Cost Items.,"Provides appropriations for collective bargaining cost items for the members of Bargaining Unit (4) and their excluded counterparts, including the cost of salary adjustments negotiated between the State and the bargaining unit representative for fiscal biennium 2025-2027. (CD1)",HI,"Public Employment Cost Items, BU-4, Appropriations ($)",SB1349,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1030.json,Passed,2025-05-12,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1030&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1030_CD1_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1030_.HTM
1933508,HB1031,Relating To Public Employment Cost Items.,Provides appropriations for collective bargaining cost items for the members of Bargaining Unit (5) and their excluded counterparts negotiated between the State and the bargaining unit representative for fiscal biennium 2025-2027. (CD1),HI,"Public Employment Cost Items, BU-5, Appropriation ($)",SB1350,,2025 Regular Session,./sample-data\HI\2025-2025_Regular_Session\bill\HB1031.json,Passed,2025-05-12,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1031&year=2025,,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1031_CD1_.HTM,https://www.capitol.hawaii.gov/sessions/session2025/bills/HB1031_.HTM
